Source,Destination,Type,Source_Latitude,Source_Longitude,Destination_Latitude,Destination_Longitude,Distance_km,Voltage_kV,Capacity_MW,Loss_Percent,Energy_Loss_MW,Loss_Cost_Per_Hour_INR,Loss_Cost_Per_Year_INR
Belagavi Substation,Supa Dam Power House,substation,15.8497,74.4977,14.95,74.68,101.933,110,1353.809,2.243,30.366,200415.60,1755640656.00
Bellary Thermal Power Station,Chitradurga Wind Cluster,thermal,15.1421,76.8747,14.23,76.4,113.549,66,1700.0,2.498,42.466,280275.60,2455214256.00
Bellary Thermal Power Station,Pavagada Solar Park (Shakti Sthala),thermal,15.1421,76.8747,14.1,77.28,123.81,220,1700.0,2.724,46.308,305632.80,2677343328.00
Bengaluru (Kadabagere/Hoody) Substation,Mysuru Substation,substation,12.9716,77.5946,12.2958,76.6394,128.017,220,810.983,2.816,22.837,150724.20,1320343992.00
Chitradurga Wind Cluster,Davangere Substation,wind,14.23,76.4,14.4644,75.9218,57.733,66,550.0,1.27,6.985,46101.00,403844760.00
Chitradurga Wind Cluster,Pavagada Solar Park (Shakti Sthala),wind,14.23,76.4,14.1,77.28,95.971,66,550.0,2.111,11.611,76632.60,671301576.00
Chitradurga Wind Cluster,Shivamogga Substation,wind,14.23,76.4,13.9299,75.5681,95.728,66,550.0,2.106,11.583,76447.80,669682728.00
Davangere Substation,Gadag Wind-Solar Hybrid Cluster,substation,14.4644,75.9218,14.99,75.63,66.336,66,1490.929,1.459,21.753,143569.80,1257671448.00
Davangere Substation,Shivamogga Substation,substation,14.4644,75.9218,13.9299,75.5681,70.613,220,1229.736,1.553,19.098,126046.80,1104169968.00
Gadag Wind-Solar Hybrid Cluster,Kappatagudda Wind Cluster,wind,14.99,75.63,15.35,75.65,40.088,66,300.0,0.882,2.646,17463.60,152981136.00
Gerusoppa Power House,Sharavathy Generating Station,hydro,14.205,74.652,14.228,74.793,15.412,220,240.0,0.339,0.814,5372.40,47062224.00
Hassan Substation,Mysuru Substation,substation,13.0072,76.1004,12.2958,76.6394,98.373,220,252.567,2.164,5.466,36075.60,316022256.00
Hubballi-Dharwad Substation,Belagavi Substation,substation,15.3647,75.124,15.8497,74.4977,86.065,220,1680.508,1.893,31.812,209959.20,1839242592.00
Hubballi-Dharwad Substation,Supa Dam Power House,substation,15.3647,75.124,14.95,74.68,66.311,110,1333.046,1.459,19.449,128363.40,1124463384.00
Kadra Power House,Gerusoppa Power House,hydro,14.802,74.522,14.205,74.652,67.843,110,150.0,1.493,2.24,14784.00,129507840.00
Kadra Power House,Kaiga Nuclear Power Station,hydro,14.802,74.522,14.864,74.439,11.275,110,150.0,0.248,0.372,2455.20,21507552.00
Kaiga Nuclear Power Station,Kodasalli Power House,nuclear,14.864,74.439,14.848,74.555,12.594,110,880.0,0.277,2.438,16090.80,140955408.00
Kalaburagi Substation,Yermarus Thermal Power Station,substation,17.3297,76.8343,16.1913,77.4363,141.886,220,1373.424,3.121,42.865,282909.00,2478282840.00
